cycle,type,ambient_temperature,capacity,voltage_min,voltage_max,voltage_mean,voltage_std,current_mean,current_std,temperature_mean,temperature_max,temperature_min,temperature_std,discharge_time,timestamp,SOH,capacity_rolling_mean_3,capacity_rolling_std_3,capacity_rolling_min_3,capacity_rolling_max_3,temp_rolling_mean_3,temp_rolling_max_3,capacity_rolling_mean_5,capacity_rolling_std_5,capacity_rolling_min_5,capacity_rolling_max_5,temp_rolling_mean_5,temp_rolling_max_5,capacity_rolling_mean_10,capacity_rolling_std_10,capacity_rolling_min_10,capacity_rolling_max_10,temp_rolling_mean_10,temp_rolling_max_10,capacity_diff,capacity_diff_pct,cumulative_fade,cumulative_fade_pct,capacity_diff_diff,capacity_ewma,voltage_range,voltage_variance,temp_increase,discharge_time_change,resistance_proxy,cycle_normalized,cycle_squared,cycle_sqrt,days_elapsed,capacity_skew,capacity_kurtosis,capacity_trend,capacity_increase,regeneration_count,capacity_change_variance
2,discharge,24.0,1.89105229539079,2.145975766935391,4.199497433806136,3.522006703394617,0.2874452516516924,1.869128126500791,0.4752966796525294,32.62485875142121,40.59042914535701,23.92407356409745,3.8821725491629793,3690.234,2008-04-01 00:00:00,0.945526147695395,1.89105229539079,0.007364706421322914,1.89105229539079,1.89105229539079,32.62485875142121,40.59042914535701,1.89105229539079,0.007364706421322914,1.89105229539079,1.89105229539079,32.62485875142121,40.59042914535701,1.89105229539079,0.007364706421322914,1.89105229539079,1.89105229539079,32.62485875142121,40.59042914535701,-0.010415267703931086,-0.00550765715433521,0.0,0.0,0.010440911718210932,1.89105229539079,2.0535216668707448,4.942506270660491e-05,16.590429145357007,-17.889999999999873,1.0986515793668874,0.003257328990228013,4,1.4142135623730951,0.0,0.0,0.0,-0.010415267703931308,0,0.0,5.450631875373718e-05
4,discharge,24.0,1.880637027686859,2.1110166987852117,4.198510349854315,3.5319490434317116,0.2797089856913086,1.868091214569674,0.47659959994822176,32.738209593287145,40.26023408628707,24.261106709876195,3.767777623445933,3672.344,2008-04-01 03:00:00,0.9403185138434295,1.8858446615388245,0.007364706421322914,1.880637027686859,1.89105229539079,32.681534172354176,40.59042914535701,1.8858446615388245,0.007364706421322914,1.880637027686859,1.89105229539079,32.681534172354176,40.59042914535701,1.8858446615388245,0.007364706421322914,1.880637027686859,1.89105229539079,32.681534172354176,40.59042914535701,-0.010415267703931086,-0.00550765715433521,0.010415267703931086,0.0055076571543352,0.010440911718210932,1.8891586103537115,2.0874936510691033,4.942506270660491e-05,16.26023408628707,-17.889999999999873,1.1174467913244688,0.006514657980456026,16,2.0,0.125,0.0,0.0,-0.010415267703931308,0,0.0,5.450631875373718e-05
6,discharge,24.0,1.8806626717011388,2.0251085128182655,4.198280074112568,3.5344025220217845,0.28372654574505013,1.877784734502072,0.4584167741596034,32.68511456550919,40.27558633997852,24.3190033925327,3.746724750145294,3651.641,2008-04-01 06:00:00,0.9403313358505694,1.8841173315929292,0.006005868510223693,1.880637027686859,1.89105229539079,32.68272763673918,40.59042914535701,1.8841173315929292,0.006005868510223693,1.880637027686859,1.89105229539079,32.68272763673918,40.59042914535701,1.8841173315929292,0.006005868510223693,1.880637027686859,1.89105229539079,32.68272763673918,40.59042914535701,2.5644014279846417e-05,1.3635812707191164e-05,0.01038962368965124,0.005494096443009367,0.010440911718210932,1.8876138942350618,2.1731715612943026,4.3087667007130195e-05,16.275586339978517,-20.702999999999975,1.157305395053796,0.009771986970684038,36,2.449489742783178,0.25,0.7070922782121885,0.0,-0.005194811844825922,1,1.0,5.450631875373718e-05
8,discharge,24.0,1.8807709009833444,1.922542180649595,4.198267468745592,3.53492504932652,0.29008702878464626,1.8875256535871228,0.43922371626617773,32.554748499572646,40.29314715799111,24.223578724887073,3.748713692085809,3631.563,2008-04-01 09:00:00,0.9403854504916722,1.8806902001237809,7.105543903803428e-05,1.880637027686859,1.8807709009833444,32.65935755278966,40.29314715799111,1.883280723940533,0.005181372453085095,1.880637027686859,1.89105229539079,32.65073285244755,40.59042914535701,1.883280723940533,0.005181372453085095,1.880637027686859,1.89105229539079,32.65073285244755,40.59042914535701,0.00010822928220566297,5.754848215699937e-05,0.010281394407445577,0.0054368641377635215,8.258526792581655e-05,1.8863697136438404,2.2757252880959973,3.621160912743469e-05,16.293147157991108,-20.077999999999975,1.2056652465124813,0.013029315960912053,64,2.8284271247461903,0.375,1.1542672248091137,-0.6670032298972282,-0.0030818539208059947,1,2.0,3.662724110853033e-05
10,discharge,24.0,1.8794508728285058,1.8711590450649882,4.198464224146956,3.534536640068787,0.29220641599968367,1.8871621432453276,0.439454184988277,32.46787845303298,40.268872630219796,24.13830760704513,3.757399994843755,3629.172,2008-04-01 12:00:00,0.9397254364142529,1.8802948151709964,0.0007328761167258258,1.8794508728285058,1.8807709009833444,32.56924717270494,40.29314715799111,1.8825147537181277,0.00480296963151454,1.8794508728285058,1.89105229539079,32.61416197256464,40.59042914535701,1.8825147537181277,0.00480296963151454,1.8794508728285058,1.89105229539079,32.61416197256464,40.59042914535701,-0.0013200281548386705,-0.0007018548373693978,0.011601422562284247,0.006134903085737662,-0.0014282574370443335,1.8851117425865067,2.3273051790819674,2.9920156417307056e-05,16.268872630219796,-2.3910000000000764,1.2332294573535036,0.016286644951140065,100,3.1622776601683795,0.5,1.4512071804768099,0.19129859488431045,-0.0023068971828083423,0,2.0,2.5528131833314116e-05
12,discharge,24.0,1.8807003517117404,2.1756867065903434,4.197967993115647,3.5411626672196816,0.26674308476358344,1.8675154082122565,0.47752624091693197,32.48624734055599,39.67620802332074,24.135840711684263,3.7187797514899983,3652.281,2008-04-01 15:00:00,0.9403501758558702,1.88030737517453,0.0007425910728584724,1.8794508728285058,1.8807709009833444,32.502958097720544,40.29314715799111,1.8804443649823177,0.000557664407706962,1.8794508728285058,1.8807709009833444,32.58643969039159,40.29314715799111,1.8822123533837296,0.004359299209559294,1.8794508728285058,1.89105229539079,32.592842867229855,40.59042914535701,0.0012494788832346782,0.0006648106110664909,0.010351943679049569,0.005474171023340376,0.0025695070380733487,1.8843096715183674,2.0222812865253035,1.1770812400430557e-05,15.67620802332074,23.108999999999924,1.0828720313419902,0.019543973941368076,144,3.4641016151377544,0.625,1.7339806143792353,1.1111965400888764,-0.0015774272482313811,1,3.0,2.259032418997959e-05
14,discharge,24.0,1.8799352523566075,2.1117887156019437,4.198023461704379,3.541165612176161,0.27118633921124835,1.8673359462519084,0.4774906738400573,32.55779966353037,39.803817662926164,24.255515986671373,3.7152261569509877,3650.828,2008-04-01 18:00:00,0.9399676261783038,1.8800288256322846,0.0006299732838400335,1.8794508728285058,1.8807003517117404,32.50397515237311,40.268872630219796,1.8803040099162671,0.0005847087718682907,1.8794508728285058,1.8807709009833444,32.55035770444023,40.29314715799111,1.881887053236998,0.004071484082039289,1.8794508728285058,1.89105229539079,32.58783669527279,40.59042914535701,-0.0007650993551329144,-0.0004068161918705515,0.011117043034182483,0.005878760233801531,-0.0020145782383675925,1.8835143225798654,2.086234746102435,1.2879042652896489e-05,15.803817662926164,-1.4529999999999745,1.1172245856806375,0.02280130293159609,196,3.7416573867739413,0.75,1.976836093257605,2.0339986071877423,-0.0012298671401933835,0,3.0,1.8356222746535028e-05
16,discharge,24.0,1.8815088124038797,2.026250619894166,4.199372697237068,3.5494581176357975,0.27297824294152273,1.9063154499484403,0.3979115030496563,32.45374435641106,39.88810476942348,24.302952144966042,3.66750069286357,3572.453,2008-04-01 21:00:00,0.9407544062019398,1.8807148054907425,0.0007868795901454828,1.8799352523566075,1.8815088124038797,32.49926378683247,39.88810476942348,1.8804732380568154,0.0007980064742941951,1.8794508728285058,1.8815088124038797,32.50408366262061,40.29314715799111,1.8818397731328582,0.003771833177716374,1.8794508728285058,1.89105229539079,32.57107515291507,40.59042914535701,0.00157356004727216,0.0008370288526158287,0.009543482986910323,0.005046652073118973,0.0023386594024050744,1.8831496843660498,2.1731220773429025,3.686457953797761e-05,15.888104769423478,-78.375,1.1399587289936457,0.026058631921824105,256,4.0,0.875,2.149393174337516,2.852837788551268,-0.0008514314962221058,1,4.0,1.697402668154889e-05
18,discharge,24.0,1.8696907870385844,1.9505894332906037,4.19921182024681,3.5502805464079743,0.2771296154486181,1.9164348198845678,0.37443743546277825,32.373246444985035,39.95162250671474,24.257530932186896,3.662879470802171,3550.594,2008-04-02 00:00:00,0.9348453935192922,1.8770449505996905,0.006417305826296394,1.8696907870385844,1.8815088124038797,32.46159682164215,39.95162250671474,1.8782572152678636,0.004851961435054107,1.8696907870385844,1.8815088124038797,32.46778325170309,40.268872630219796,1.88048988578905,0.00537104714177954,1.8696907870385844,1.89105229539079,32.549094185367295,40.59042914535701,-0.011818025365295304,-0.006281142712372567,0.021361508352205627,0.011296096043600542,-0.013391585412567464,1.8807026121246924,2.2486223869562063,4.3142143785474996e-05,15.951622506714742,-21.858999999999924,1.173335607498532,0.029315960912052116,324,4.242640687119285,1.0,-0.06948201766114222,1.4017289017281032,-0.0014059344536405353,0,4.0,2.8211683034564504e-05
20,discharge,24.0,1.870052380139199,1.8688247067658061,4.198957678253482,3.5481347674910286,0.283812978267983,1.9165385597747795,0.3742086617157418,32.30534276235138,40.052021854718284,24.189583713016194,3.6783546666995868,3551.25,2008-04-02 03:00:00,0.9350261900695995,1.8737506598605542,0.006721189296302372,1.8696907870385844,1.8815088124038797,32.37744452124915,40.052021854718284,1.876377516730002,0.005966453871842659,1.8696907870385844,1.8815088124038797,32.43527611356676,40.052021854718284,1.879446135224065,0.0060445802258933005,1.8696907870385844,1.89105229539079,32.5247190430657,40.59042914535701,0.00036159310061467664,0.00019339727356060266,0.02099991525159095,0.011104883404216632,0.01217961846590998,1.8787662063091481,2.330132971487676,2.0400460993369262e-05,16.052021854718284,0.6559999999999491,1.2158021782558455,0.03257328990228013,400,4.47213595499958,1.125,-0.09399961224055102,0.23832542685706004,-0.001591816274457638,1,5.0,2.5706522648663756e-05
