Model,RMSE,MAE,R²,MAPE,Battery
TabPFN,0.0005908598278138591,0.0004294944268389944,0.9982545912930468,0.06021786003513378,B0005
XGBoost,0.028533360127507446,0.025052002248546038,-3.0703714786940335,3.517701009243797,B0005
GradientBoosting,0.02815858294775363,0.02459093517326832,-2.9641474687184046,3.4537651380078556,B0005
RandomForest,0.03325756001916094,0.030171651733917126,-4.529794318884467,4.2299559056721545,B0005
Ensemble,0.02258221488621729,0.02001223648515757,-1.549536784939864,2.8088488037052093,B0005
TabPFN,0.0012616405807306496,0.0009587668086231834,0.9971298142372579,0.133301737105059,B0006
XGBoost,0.013750264475285599,0.011921720907890378,0.6590734610101141,1.6549101894437535,B0006
GradientBoosting,0.013448006434613151,0.010519208913059953,0.6738972035875854,1.4625008824971593,B0006
RandomForest,0.0158123108559764,0.012846985140300965,0.5491527824403906,1.7841946856202586,B0006
Ensemble,0.010817112317778935,0.008755382003102679,0.789010236729331,1.2187592067877273,B0006
TabPFN,0.0017060400015230263,0.0013277836139711067,0.9751487376161254,0.18653880160239575,B0007
XGBoost,0.023612413780151338,0.020970635515320933,-3.760480661618563,2.936735347844488,B0007
GradientBoosting,0.022936834215387194,0.02075330838875003,-3.4919714380693554,2.904236151249534,B0007
RandomForest,0.02538507200866815,0.023219916916246943,-4.502079159748717,3.2480620539778107,B0007
Ensemble,0.018370138540929594,0.016549201189964797,-1.8813425868757654,2.3163244781691414,B0007
